Movie Name,Username,Review,Rating
Reviews ofAgak Laen2024,Anonymous,"regret not experience in cinema..Komedia nya daoet banget sih apalagi tang meranin beberapa mantan anak suci , arief didu seharus nya banyak screentime sih , punya ekspetasi tinggi karna yang produserin ernest tapi pas liat cast berserta cameoj ekspetasi cimedy lwbih tinggi tapi overall ini lucu taoi sedih nya kurang di aku , didnt get emotional sorry but i'm still sad in last scene",4.5
Reviews ofAgak Laen2024,Anonymous,They're so stupid?? Like if they didn't do that they wouldn't even end up like that 😭😭 agak greget yaaakk,3
Reviews ofAgak Laen2024,Anonymous,Kinda overrated,3
Reviews ofAgak Laen2024,Anonymous,it’s alright,3.5
Reviews ofAgak Laen2024,Anonymous,Film ngakak yg gw tonton,5
Reviews ofAgak Laen2024,Anonymous,agak laen make me start to watch another indo movies with the same genre as it (BECAUSE IT'S FUNNNNNN) and i couldn't find any horror comedy movies better than this,4
Reviews ofAgak Laen2024,Anonymous,agak laen indeed.,3
Reviews ofAgak Laen2024,Anonymous,note to self: don’t piss on someone’s grave,4
Reviews ofAgak Laen2024,Anonymous,aku ada ide☝🏻,3.5
Reviews ofAgak Laen2024,Anonymous,Mantep ini,5
Reviews ofAgak Laen2024,Anonymous,Ya walaupun ceritanya kayak yang penting ada alur tapi fun lah,4
Reviews ofAgak Laen2024,Anonymous,worth the hype,5
Reviews ofAgak Laen2024,Anonymous,nyaman.,5
Reviews ofAgak Laen2024,Anonymous,"Horror dan komedi dengan suguhan yang tidak biasa dan menarik. Penonton sudah bosan dengan horror ala ala, yang bermodal jumpscare tanpa alur dan cerita yang menarik. Film ini dengan sukses men-deliver hal tersebut.",5
Reviews ofAgak Laen2024,Anonymous,okelah lucu....jokesnya oke dapet,4
Reviews ofAgak Laen2024,Anonymous,lucu,4
Reviews ofAgak Laen2024,Anonymous,The comedy didn't touch me.,3
Reviews ofAgak Laen2024,Anonymous,"comedy tp backgroundnya horror gt, tp not my type aja si🤔 jd segini deh rate nya",3
Reviews ofAgak Laen2024,Anonymous,finished in 3 days – suka random aja kadang kepikiran nonton meski ya jelas jelas bukan target marketnya,
Reviews ofAgak Laen2024,Anonymous,It was fun,3.5
Reviews ofAgak Laen2024,Anonymous,film batak *chefs kiss*,4
Reviews ofAgak Laen2024,Anonymous,"masuk akal sih penontonnya jutaanga harus ngikutin podcastnya buat nikmatin film ini, tapi kalo ngikutin podcastnya bakal ngeh sama bbrp jokes",5
Reviews ofAgak Laen2024,Anonymous,its SUCI all over again🥲😭😭,4
Reviews ofAgak Laen2024,Anonymous,Aku punya ide,3
Reviews ofAgak Laen2024,Anonymous,"""angin duduk itu"" actually died in the theaters.",4.5
Reviews ofAgak Laen2024,Anonymous,"Kerasa lucu banget banget menurutku kalo dari orang sumut aja. Bbrp jokes terlalu dark nyerempet offensive, mungkin bagian dari komedinya kali ya. But for me, i dont really like",3
Reviews ofAgak Laen2024,Anonymous,"im gonna say what did i think in my brain and what did i say in my heart.this film was a comedy ofcourse and maybe some of the jokes were garing, and still, it makes me laugh which is they wrap it in a good way, thats why i laugh. even tho this movie was a comedy. its also telling you thatbeing disrespectful, especially to your own family, will always have consequences.maybe not in the way you…",4
Reviews ofAgak Laen2024,Anonymous,ini lucu banget njir wkwkwk kocak but kinda relate sama apa yang mereka alami,4.5
Reviews ofAgak Laen2024,Anonymous,"ini seru sumpah lucu dapet, kaget dapet apalagi aktingnya best lah lucu bgt😭😭",5
Reviews ofAgak Laen2024,Anonymous,"Udah ke-3 kalinya nonton komedinya sedihnya dapet, gak pernah gagal soal komedi, jokesnya mudah dipahami dan relate di kehidupan sehari-hari, aktingnya bagus semua walau juga tokoh pendukung semua aktingnya bagus, backsoundnya gilaaa baguss banget, color gradingnya juga bagus, dan gak kalah juga shoot² nya gilaa gokil semua.",5
Reviews ofAgak Laen2024,Anonymous,ketawa kikir,4
Reviews ofAgak Laen2024,Anonymous,Lucuuuu !!,4
Reviews ofAgak Laen2024,Anonymous,Best Indonesian Comedy in History!Brillian script dan directing by Muhadkly Acho! Komedi sebagai genre utamanya dimanfaatin dengan begitu pintar dan berkelas. geer semuaaaaa ... tanpa menghilangin unsur drama yang penting!Big Applause untuk Oki yang punya skill akting bagus banget!,4
